side,qty,entry_price,closing_price,open_time,close_time,pnl
Sell,1,6241.75,6237.75,2025-06-30 09:40:00,2025-06-30 09:40:00,20
Buy,1,6237.75,6241.75,2025-07-01 09:35:00,2025-07-01 09:45:00,20
Buy,1,6302.25,6306.25,2025-07-03 09:35:00,2025-07-03 09:45:00,20
Buy,1,6303.25,6307.25,2025-07-09 09:35:00,2025-07-09 09:40:00,20
Sell,1,6286,6282,2025-07-11 09:40:00,2025-07-11 09:40:00,20
Buy,1,6290.25,6294.25,2025-07-14 09:35:00,2025-07-14 09:35:00,20
Sell,1,6331.75,6327.75,2025-07-15 09:35:00,2025-07-15 09:35:00,20
Buy,1,6296,6300,2025-07-16 09:35:00,2025-07-16 09:35:00,20
Buy,1,6316.5,6320.5,2025-07-17 09:45:00,2025-07-17 09:50:00,20
Sell,1,6347.75,6350.55,2025-07-18 09:35:00,2025-07-18 09:45:00,-14.00000000000091
Sell,1,6345.5,6350.55,2025-07-18 09:55:00,2025-07-18 10:00:00,-25.25000000000091
Sell,1,6344,6340,2025-07-18 10:05:00,2025-07-18 10:10:00,20
Buy,1,6349.25,6353.25,2025-07-21 09:35:00,2025-07-21 09:40:00,20
Sell,1,6370,6366,2025-07-23 09:40:00,2025-07-23 09:40:00,20
Sell,1,6429,6425,2025-07-28 09:35:00,2025-07-28 09:40:00,20
Sell,1,6434,6430,2025-07-29 09:45:00,2025-07-29 09:45:00,20
Sell,1,6412.25,6408.25,2025-07-30 09:45:00,2025-07-30 09:45:00,20
Sell,1,6443.25,6439.25,2025-07-31 09:35:00,2025-07-31 09:35:00,20
Sell,1,6290.75,6286.75,2025-08-01 09:35:00,2025-08-01 09:35:00,20
Buy,1,6315.5,6319.5,2025-08-04 09:35:00,2025-08-04 09:35:00,20
Sell,1,6366.25,6362.25,2025-08-05 09:40:00,2025-08-05 09:55:00,20
Buy,1,6411.75,6410.05,2025-08-07 09:35:00,2025-08-07 09:35:00,-8.49999999999909
Buy,1,6388.75,6392.75,2025-08-08 09:45:00,2025-08-08 09:45:00,20
Sell,1,6417.25,6413.25,2025-08-11 09:45:00,2025-08-11 09:50:00,20
Buy,1,6492,6496,2025-08-13 09:35:00,2025-08-13 09:45:00,20
Buy,1,6470.5,6474.5,2025-08-14 09:35:00,2025-08-14 09:45:00,20
Sell,1,6489,6485,2025-08-15 09:40:00,2025-08-15 09:45:00,20
Buy,1,6467.75,6471.75,2025-08-18 09:45:00,2025-08-18 09:45:00,20
Sell,1,6419,6423.15,2025-08-20 09:40:00,2025-08-20 09:40:00,-20.74999999999818
